Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2004,WI,Wisconsin,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,"$15,000-$24,999",Household Income,368,43.1,38.6,47.6,561,%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,55,INCOME2,CAT6,DRNKANY3,RESP054,"(44.393191174, -89.816370742)"
2007,NM,New Mexico,Health Status,Overall Health,How is your general health?,Fair,Overall,Overall,917,13.0,11.8,14.2,4,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,35,BO1,CAT1,GENHLTH,RESP059,"(34.520880952, -106.240580985)"
2009,AL,Alabama,Demographics,Race,What is your race/ethnicity?,Black,"$50,000+",Household Income,286,15.4,13.1,17.8,1037,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,1,INCOME5,CAT6,RACE,RESP006,"(32.840571122, -86.631860762)"
2008,AZ,Arizona,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,1459,82.0,78.8,85.2,498,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,4,EDUCA4,CAT5,_DENVST1,RESP046,"(34.86597028, -111.763811277)"
2005,NM,New Mexico,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",Yes,18-24,Age Group,26,7.4,4.1,10.7,1982,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,35,AGE01,CAT3,QLACTLM2,RESP046,"(34.520880952, -106.240580985)"
2006,KS,Kansas,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,18-24,Age Group,17,5.6,2.7,8.5,1123,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,20,AGE01,CAT3,_CHLDCNT,RESP092,"(38.3477403, -98.200781227)"
2008,TX,Texas,Demographics,Race,What is your race/ethnicity?,MultiRacial,55-64,Age Group,20,1.3,0.4,2.1,1021,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,48,AGE05,CAT3,RACE,RESP008,"(31.827240407, -99.426770206)"
2006,ME,Maine,Demographics,Race,What is your race/ethnicity?,White,35-44,Age Group,692,97.3,96.0,98.6,756,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,23,AGE03,CAT3,RACE,RESP005,"(45.254228894001, -68.985031336)"
2005,KS,Kansas,Demographics,Race,What is your race/ethnicity?,Other,"$15,000-$24,999",Household Income,34,2.8,1.6,4.0,1124,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,20,INCOME2,CAT6,RACE,RESP009,"(38.3477403, -98.200781227)"
2003,VI,Virgin Islands,Demographics,Employment,What is your employment status?,No work< yr,Hispanic,Race/Ethnicity,18,8.3,3.4,13.2,1697,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,78,RACE3,CAT4,EMPLOY,RESP027,"(18.335765, -64.896335)"
1998,IL,Illinois,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,Less than H.S.,Education Attained,63,25.0,18.8,31.2,540,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,17,EDUCA1,CAT5,_SMOKER2,RESP070,"(40.485010283, -88.997710178)"
2009,IN,Indiana,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,Female,Gender,1364,19.9,18.6,21.3,878,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,18,SEX2,CAT2,_SMOKER3,RESP070,"(39.766910452, -86.149960194)"
2006,FL,Florida,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Neither overweight nor obese (BMI le 24.9),Overall,Overall,4100,40.5,39.1,41.9,1586,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,12,BO1,CAT1,_BMI4CAT,RESP045,"(28.932040377, -81.928960539)"
2010,VA,Virginia,Demographics,Age,What is your age?,25-34 years,"Multiracial, non-Hispanic",Race/Ethnicity,7,,,,1103,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic02,51,RACE5,CAT4,AGE,RESP011,"(37.542680674, -78.457890463)"
2002,ID,Idaho,Demographics,Income,What is your annual household income?,"Less than $15,000","Multiracial, non-Hispanic",Race/Ethnicity,11,,,,1746,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic33,16,RACE5,CAT4,INCOME,RESP016,"(43.682630005, -114.363730042)"
1995,MN,Minnesota,Demographics,Race,What is your race/ethnicity?,Black,65+,Age Group,7,0.7,0.2,1.2,826,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,27,AGE09,CAT3,RACE,RESP006,"(46.355648736, -94.794200503)"
2004,CA,California,Demographics,Marital Status,What is your marital status?,Divorced,18-24,Age Group,6,1.4,0.3,2.5,1188,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,6,AGE01,CAT3,MARITAL,RESP034,"(37.638640123, -120.999999538)"
2003,KY,Kentucky,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,"$25,000-$34,999",Household Income,223,27.3,22.6,32.0,1602,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,21,INCOME3,CAT6,EDUCA,RESP023,"(37.645970271, -84.774971048)"
1997,MI,Michigan,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,"$50,000+",Household Income,12,13.5,6.2,20.8,1720,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,26,INCOME5,CAT6,_MAM502Y,RESP054,"(44.661319543001, -84.71439027)"
1998,AZ,Arizona,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,50-59,Age Group,110,85.4,78.0,92.8,1455,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,4,AGE07,CAT3,_MAM502Y,RESP046,"(34.86597028, -111.763811277)"
2007,KS,Kansas,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,25-34,Age Group,917,97.2,96.2,98.2,322,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,20,AGE02,CAT3,DIABETE2,RESP054,"(38.3477403, -98.200781227)"
2000,CT,Connecticut,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,43,9.2,6.3,12.1,473,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,9,INCOME2,CAT6,_CASTHMA,RESP046,"(41.56266102, -72.649840952)"
1999,UT,Utah,Cholesterol Awareness,Cholesterol Checked,Adults who have ever had their blood cholesterol checked,No,"$50,000+",Household Income,184,20.6,16.9,24.3,325,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,49,INCOME5,CAT6,BLOODCHO,RESP054,"(39.360700171, -111.587130635)"
2010,WY,Wyoming,Demographics,Income,What is your annual household income?,"$50,000+",18-24,Age Group,40,,,,1742,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic33,56,AGE01,CAT3,INCOME,RESP020,"(43.235541343, -108.109830353)"
1997,NC,North Carolina,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,College graduate,Education Attained,85,10.9,8.3,13.5,600,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,37,EDUCA4,CAT5,_SMOKER2,RESP068,"(35.466220975, -79.159250463)"
1997,AZ,Arizona,Demographics,Marital Status,What is your marital status?,Separated,Hispanic,Race/Ethnicity,5,2.0,0.0,4.1,1001,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,4,RACE3,CAT4,MARITAL,RESP036,"(34.86597028, -111.763811277)"
2007,GA,Georgia,Demographics,Age,What is your age?,65+ years,"Less than $15,000",Household Income,304,21.1,17.8,24.4,1022,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,13,INCOME1,CAT6,AGE,RESP015,"(32.839681093, -83.627580346)"
2008,NV,Nevada,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,"Less than $15,000",Household Income,26,,,,1429,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic39,32,INCOME1,CAT6,_CHLDCNT,RESP094,"(39.49324039, -117.071840564)"
2005,ND,North Dakota,Demographics,Employment,What is your employment status?,Emplyd,Male,Gender,891,57.9,55.1,60.7,1559,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,38,SEX1,CAT2,EMPLOY,RESP025,"(47.475319779, -100.118421049)"
2010,CA,California,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,"$15,000-$24,999",Household Income,287,60.7,55.2,66.1,2300,%,Crude Prevalence,,,BRFSS,CLASS16,Topic47,6,INCOME2,CAT6,_RFPSA2Y,RESP054,"(37.638640123, -120.999999538)"
2001,SC,South Carolina,Cholesterol Awareness,Cholesterol Checked,Adults who have ever had their blood cholesterol checked,No,"Less than $15,000",Household Income,66,28.3,20.7,35.9,451,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,45,INCOME1,CAT6,BLOODCHO,RESP054,"(33.998821303, -81.045371207)"
2004,MD,Maryland,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,266,31.9,28.2,35.6,2086,%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,24,EDUCA4,CAT5,_RFBLDST,RESP046,"(39.290580964, -76.609260111)"
2008,OR,Oregon,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,Female,Gender,2614,90.6,89.3,91.8,306,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,41,SEX2,CAT2,DIABETE2,RESP054,"(44.567449424, -120.155031326)"
2003,TX,Texas,Cholesterol Awareness,Cholesterol Checked,Adults who have ever had their blood cholesterol checked,No,Male,Gender,526,30.4,28.0,32.8,416,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,48,SEX1,CAT2,BLOODCHO,RESP054,"(31.827240407, -99.426770206)"
2007,NE,Nebraska,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,"Other, non-Hispanic",Race/Ethnicity,35,17.0,7.2,26.8,769,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,31,RACE4,CAT4,_SMOKER3,RESP068,"(41.641040988001, -99.365720623)"
1998,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",Less than H.S.,Education Attained,2,0.3,0.0,0.8,281,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,1,EDUCA1,CAT5,DIABETES,RESP051,"(32.840571122, -86.631860762)"
2008,HI,Hawaii,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,Female,Gender,607,16.7,15.0,18.4,649,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,15,SEX2,CAT2,_LTASTHM,RESP046,"(21.304850435, -157.857749403)"
2001,OH,Ohio,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,"$35,000-$49,999",Household Income,514,90.9,88.2,93.6,361,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,39,INCOME4,CAT6,DIABETES,RESP054,"(40.060210141, -82.404260056)"
2001,CA,California,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,18-24,Age Group,100,28.0,21.7,34.3,264,%,Crude Prevalence,,,BRFSS,CLASS15,Topic23,6,AGE01,CAT3,_TOTINDA,RESP054,"(37.638640123, -120.999999538)"
2002,GU,Guam,Women's Health,Pap Test,Women aged 18+ who have had a pap smear within the past three years (variable calculated from one or more BRFSS questions),No,18-24,Age Group,16,,,,1895,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS18,Topic42,66,AGE01,CAT3,_RFPAP3Y,RESP054,"(13.444304, 144.793731)"
2002,CO,Colorado,Demographics,Employment,What is your employment status?,Retired,Less than H.S.,Education Attained,57,13.5,7.8,19.2,1664,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,8,EDUCA1,CAT5,EMPLOY,RESP031,"(38.843840757, -106.133610921)"
2005,OR,Oregon,Demographics,Employment,What is your employment status?,Emplyd,Hispanic,Race/Ethnicity,403,63.9,59.6,68.2,1666,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,41,RACE3,CAT4,EMPLOY,RESP025,"(44.567449424, -120.155031326)"
2007,NC,North Carolina,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",Female,Gender,120,1.7,1.3,2.1,304,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,37,SEX2,CAT2,DIABETE2,RESP051,"(35.466220975, -79.159250463)"
2001,TN,Tennessee,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,2318,80.1,78.4,81.8,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,47,BO1,CAT1,_RFHLTH,RESP061,"(35.68094058, -85.774490914)"
2006,NC,North Carolina,Demographics,Income,What is your annual household income?,"$25,000 - 34,999",Male,Gender,700,12.5,11.3,13.7,1497,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,37,SEX1,CAT2,INCOME,RESP018,"(35.466220975, -79.159250463)"
2002,MA,Massachusetts,Demographics,Employment,What is your employment status?,Emplyd,"Black, non-Hispanic",Race/Ethnicity,181,60.5,53.4,67.6,1612,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,25,RACE2,CAT4,EMPLOY,RESP025,"(42.27687047, -72.082690675)"
1999,ID,Idaho,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,45-54,Age Group,162,19.4,16.2,22.6,1091,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,16,AGE04,CAT3,_CHLDCNT,RESP094,"(43.682630005, -114.363730042)"
1997,IN,Indiana,Alcohol Consumption,Alcohol Consumption,"During the past month, have you had at least one drink of any alcoholic beverage?",Yes,"Other, non-Hispanic",Race/Ethnicity,25,,,,654,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS01,Topic03,18,RACE4,CAT4,DRINKANY,RESP046,"(39.766910452, -86.149960194)"
2004,SC,South Carolina,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,"Other, non-Hispanic",Race/Ethnicity,107,78.0,69.5,86.5,273,%,Crude Prevalence,,,BRFSS,CLASS15,Topic23,45,RACE4,CAT4,_TOTINDA,RESP046,"(33.998821303, -81.045371207)"
2010,CO,Colorado,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Hispanic,Race/Ethnicity,1190,96.9,95.9,98.0,586,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,8,RACE3,CAT4,CVDCRHD4,RESP054,"(38.843840757, -106.133610921)"
1995,KY,Kentucky,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,Overall,Overall,799,35.7,33.5,37.9,1215,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,21,BO1,CAT1,EDUCA,RESP022,"(37.645970271, -84.774971048)"
2003,DE,Delaware,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Male,Gender,131,10.8,8.4,13.2,212,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,10,SEX1,CAT2,_HCVU65,RESP054,"(39.008830667, -75.577741168)"
2002,KY,Kentucky,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,18-24,Age Group,10,2.4,0.0,5.2,1360,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,21,AGE01,CAT3,_CHLDCNT,RESP092,"(37.645970271, -84.774971048)"
2008,SC,South Carolina,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,"White, non-Hispanic",Race/Ethnicity,3480,79.3,77.5,81.1,2317,%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,45,RACE1,CAT4,_RFBLDS2,RESP054,"(33.998821303, -81.045371207)"
2007,MI,Michigan,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,"Black, non-Hispanic",Race/Ethnicity,1060,86.0,82.1,89.9,1840,%,Crude Prevalence,,,BRFSS,CLASS01,Topic07,26,RACE2,CAT4,_RFBING4,RESP054,"(44.661319543001, -84.71439027)"
1997,NY,New York,Demographics,Sex,Gender of respondent,Male,55-64,Age Group,141,46.7,40.8,52.6,1547,%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,36,AGE05,CAT3,SEX,RESP001,"(42.827001032, -75.543970427)"
2007,OK,Oklahoma,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",Male,Gender,37,1.1,0.7,1.5,307,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,40,SEX1,CAT2,DIABETE2,RESP052,"(35.472031356, -97.521070214)"
2007,NM,New Mexico,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,65-74,Age Group,535,54.9,51.0,58.8,1946,%,Crude Prevalence,,,BRFSS,CLASS11,Topic46,35,AGE10,CAT3,_PNEUMO2,RESP046,"(34.520880952, -106.240580985)"
2005,IN,Indiana,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,"$35,000-$49,999",Household Income,200,24.3,21.0,27.6,884,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,18,INCOME4,CAT6,_SMOKER3,RESP068,"(39.766910452, -86.149960194)"
2007,HI,Hawaii,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,Female,Gender,3292,85.0,83.4,86.6,596,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,15,SEX2,CAT2,_LTASTHM,RESP054,"(21.304850435, -157.857749403)"
1996,VT,Vermont,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"$50,000+",Household Income,12,3.0,1.2,4.8,196,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,50,INCOME5,CAT6,HLTHPLAN,RESP054,"(43.625381239, -72.517640791)"
1996,VA,Virginia,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Some post-H.S.,Education Attained,54,12.5,8.9,16.1,185,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,51,EDUCA3,CAT5,HLTHPLAN,RESP054,"(37.542680674, -78.457890463)"
1999,VT,Vermont,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,Hispanic,Race/Ethnicity,1,2.3,0.0,6.8,1131,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,50,RACE3,CAT4,_CHLDCNT,RESP092,"(43.625381239, -72.517640791)"
2002,WV,West Virginia,Health Status,Overall Health,How is your general health?,Very good,55-64,Age Group,127,24.9,20.8,29.0,26,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,54,AGE05,CAT3,GENHLTH,RESP057,"(38.665510202, -80.712640135)"
2005,OR,Oregon,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,"$15,000-$24,999",Household Income,1909,88.9,87.5,90.3,377,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,41,INCOME2,CAT6,DIABETE2,RESP054,"(44.567449424, -120.155031326)"
